miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
hsa-miR-7702	675-681	7mer-1A	-0.17	 85	-0.17	0.000	N/A	N/A
hsa-miR-7157-5p	683-690	8mer	-0.39	 99	-0.39	0.000	N/A	N/A
hsa-miR-4310	683-690	8mer	-0.31	 98	-0.31	0.000	N/A	N/A
hsa-miR-3617-3p	685-691	7mer-m8	-0.30	 95	-0.30	0.367	N/A	N/A
hsa-miR-34a-3p	686-692	7mer-m8	-0.29	 97	-0.29	0.000	N/A	N/A
hsa-miR-5587-5p	695-702	8mer	-0.37	 98	-0.37	0.000	N/A	N/A
hsa-miR-4645-3p	702-708	7mer-1A	-0.17	 81	-0.17	0.000	N/A	N/A
hsa-miR-542-3p	703-709	7mer-m8	-0.22	 93	-0.22	0.595	N/A	-5.405
hsa-miR-1236-5p	705-712	8mer	-0.48	 99	-0.48	0.000	N/A	N/A
hsa-miR-4765	706-712	7mer-1A	-0.12	 83	-0.12	0.000	N/A	N/A
hsa-miR-3908	711-717	7mer-m8	-0.08	 87	-0.08	0.000	N/A	N/A
hsa-miR-545-3p	713-719	7mer-1A	-0.13	 87	-0.13	0.054	N/A	-3.676
hsa-miR-24-3p	716-722	7mer-m8	-0.22	 93	-0.22	0.254	< 0.1	-3.502
hsa-miR-2467-5p	718-724	7mer-m8	-0.31	 97	-0.31	0.000	N/A	N/A
hsa-miR-2467-3p	721-727	7mer-m8	-0.17	 85	-0.17	0.417	N/A	-4.128
hsa-miR-4468	723-729	7mer-m8	-0.07	 61	-0.07	0.000	N/A	N/A
hsa-miR-6081	724-730	7mer-m8	-0.16	 74	-0.16	0.000	N/A	N/A
hsa-miR-939-5p	726-733	8mer	-0.60	 99	-0.60	0.574	N/A	N/A
hsa-miR-1343-5p	726-733	8mer	-0.52	 99	-0.52	0.574	N/A	N/A
hsa-miR-3150a-3p	727-733	7mer-m8	-0.15	 78	-0.15	0.389	N/A	-1.421
hsa-miR-6763-5p	727-733	7mer-m8	-0.15	 77	-0.15	0.389	N/A	-1.726
hsa-miR-3175	727-733	7mer-1A	-0.16	 75	-0.16	0.000	N/A	N/A
hsa-miR-6825-5p	727-733	7mer-1A	-0.11	 50	-0.11	0.363	N/A	N/A
hsa-miR-4700-5p	728-734	7mer-m8	-0.11	 75	-0.11	0.054	N/A	N/A
hsa-miR-4667-5p	728-734	7mer-m8	-0.11	 73	-0.11	0.054	N/A	N/A
hsa-miR-8089	728-734	7mer-m8	-0.09	 68	-0.09	0.054	N/A	N/A
hsa-miR-6852-5p	729-735	7mer-m8	-0.17	 89	-0.17	0.000	N/A	N/A
hsa-miR-6791-5p	730-736	7mer-m8	-0.17	 83	-0.17	0.000	N/A	N/A
hsa-miR-4292	730-736	7mer-m8	-0.14	 77	-0.14	0.000	N/A	N/A
hsa-miR-6801-3p	732-738	7mer-1A	-0.03	 45	-0.03	0.000	N/A	N/A
hsa-miR-6810-3p	732-738	7mer-1A	-0.01	 29	-0.01	0.000	N/A	N/A
hsa-miR-6504-3p	746-752	7mer-m8	-0.02	 47	-0.02	0.000	N/A	N/A
hsa-miR-8053	750-756	7mer-m8	-0.42	 93	-0.42	0.000	N/A	N/A
hsa-miR-3141	753-759	7mer-1A	-0.29	 89	-0.29	0.739	N/A	N/A
hsa-miR-5585-3p	760-766	7mer-m8	-0.18	 96	-0.18	0.000	N/A	N/A
hsa-miR-4427	761-767	7mer-m8	-0.12	 88	-0.12	0.000	N/A	N/A
hsa-miR-181a-2-3p	764-770	7mer-m8	-0.15	 87	-0.15	0.000	N/A	N/A
hsa-miR-4252	765-771	7mer-m8	-0.15	 90	-0.15	0.000	N/A	N/A
hsa-miR-6788-3p	767-773	7mer-m8	-0.38	 94	-0.38	0.000	N/A	N/A
hsa-miR-4263	787-794	8mer	-0.41	 99	-0.41	0.000	N/A	N/A
hsa-miR-576-5p	788-794	7mer-1A	-0.09	 92	-0.09	0.048	N/A	-1.969
hsa-miR-627-3p	790-797	8mer	-0.47	 99	-0.47	0.000	N/A	N/A
